id,name,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9
1,Jammu & Kashmir,27225,115,2.2,27225,2,38.5,1,,
2,Himachal Pradesh,0,0,0,0,0,0,0,,
3,Punjab,150448,422,1.2,50504,5,186.5,1,,
4,Chandigarh,0,0,0,0,0,0,0,,
5,Uttarakhand,276528,982.5,0,95456,14,356.5,1,,
6,Haryana,0,0,0,0,0,0,0,,
7,Delhi,0,0,0,0,0,0,0,,
8,Rajasthan,60725,197.75,5.925,18090,9,449.1666667,1,,
9,Uttar Pradesh,1937347,6586,20.9,590640,64,1213.405556,1,,
10,Bihar,53419,165,0.15,7269,3,175,1,,
11,Sikkim,0,0,0,0,0,0,0,,
12,Arunachal Pradesh,0,0,0,0,0,0,0,,
13,Nagaland,0,0,0,0,0,0,0,,
14,Manipur,0,0,0,0,0,0,0,,
15,Mizoram,0,0,0,0,0,0,0,,
16,Tripura,0,0,0,0,0,0,0,,
17,Meghalaya,0,0,0,0,0,0,0,,
18,Assam,0,0,0,0,0,0,0,,
19,West Bengal,9350,30,1.375,0,1,172,1,,
20,Jharkhand,0,0,0,0,0,0,0,,
21,Odisha,0,0,0,0,0,0,0,,
22,Chhattisgarh,0,0,0,0,0,0,0,,
23,Madhya Pradesh,285445,875,0,67379,8,182.4166667,1,,
24,Gujarat,359401,806.5,14.145,96791,33,736.6706349,1,,
25,Daman And Diu,0,0,0,0,0,0,1,,
26,Dadra And Nagar Haveli,0,0,0,0,0,0,0,,
27,Maharashtra,2158985,6200,22.325,563103,149,965.0352381,1,,
28,Andhra Pradesh (Before Division),0,0,0,0,0,0,0,,
29,Karnataka,424630,1301.5,6.125,88803,37,1064.291667,1,,
30,Goa,0,0,0,0,0,0,0,,
31,Lakshadweep,0,0,0,0,0,0,0,,
32,Kerala,116553,364,2.5,99334,8,199,1,,
33,Tamil Nadu,80123,124,1.375,12355,8,214.5,1,,
34,Puducherry,0,0,0,0,0,0,0,,
35,Andaman & Nicobar Islands,0,0,0,0,0,0,0,,
36,Telangana,12744,30,5.8,0,2,185.5,1,,
37,Andhra Pradesh (New),0,0,0,0,0,0,0,,
